latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
37.9841253,23.7337076,Entire home/apt,73,1,2,0.23
37.99804,23.73895,Entire home/apt,57,1,2,0.22
37.99975,23.73937,Entire home/apt,67,1,2,0.24
37.98364788,23.76015389,Entire home/apt,36,1,2,0.55
37.973444,23.7285388,Entire home/apt,972,1,2,0.45
37.97399246,23.75156332,Entire home/apt,105,1,2,0.23
37.9889069,23.7686754,Entire home/apt,86,1,2,0.17
37.96691136,23.74772159,Entire home/apt,56,1,2,0.17
37.97884905,23.73137987,Entire home/apt,79,1,2,0.21
37.98964,23.72629,Entire home/apt,48,1,2,0.2
37.9649397,23.7268163,Entire home/apt,88,1,2,0.17
37.9888412,23.7399723,Entire home/apt,39,1,2,0.17
37.9691919,23.7119045,Entire home/apt,48,1,2,0.16
